game_id,season,season_type,week,kickoff_utc,kickoff_epoch,home_team_id,home_team_name,home_team_school,away_team_id,away_team_name,away_team_school,home_points,away_points,home_margin,home_division,away_division,home_conference,away_conference,cross_division,neutral_site,venue_name,venue_city,venue_state,competition_type,conference_competition,overtime,source_authority,source_authority_tier,source_url,source_raw_sha256,tier_1_corroboration
ESPN-2020-401236038,2020,REGULAR_SEASON,2,2020-09-12T16:00:00Z,1599926400,277,West Virginia Mountaineers,West Virginia,2198,Eastern Kentucky Colonels,Eastern Kentucky,56,10,46,FBS,FCS,Big 12 Conference,Ohio Valley Conference,True,False,Milan Puskar Stadium,Morgantown,WV,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401236053,2020,REGULAR_SEASON,2,2020-09-12T16:00:00Z,1599926400,2306,Kansas State Wildcats,Kansas State,2032,Arkansas State Red Wolves,Arkansas State,31,35,-4,FBS,FBS,Big 12 Conference,Sun Belt Conference,False,False,Bill Snyder Family Stadium,Manhattan,KS,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401236081,2020,REGULAR_SEASON,2,2020-09-12T16:00:00Z,1599926400,2026,Appalachian State Mountaineers,Appalachian State,2429,Charlotte 49ers,Charlotte,35,20,15,FBS,FBS,Sun Belt Conference,Conference USA,False,False,Kidd Brewer Stadium,Boone,NC,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401236221,2020,REGULAR_SEASON,2,2020-09-12T16:00:00Z,1599926400,66,Iowa State Cyclones,Iowa State,309,Louisiana Ragin' Cajuns,Louisiana,14,31,-17,FBS,FBS,Big 12 Conference,Sun Belt Conference,False,False,Jack Trice Stadium,Ames,IA,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401240113,2020,REGULAR_SEASON,2,2020-09-12T17:30:00Z,1599931800,349,Army Black Knights,Army,2433,UL Monroe Warhawks,UL Monroe,37,7,30,FBS,FBS,FBS Independents,Sun Belt Conference,False,False,Michie Stadium,West Point,NY,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401234574,2020,REGULAR_SEASON,2,2020-09-12T18:30:00Z,1599935400,87,Notre Dame Fighting Irish,Notre Dame,150,Duke Blue Devils,Duke,27,13,14,FBS,FBS,Atlantic Coast Conference,Atlantic Coast Conference,False,False,Notre Dame Stadium,Notre Dame,IN,REGULAR_SEASON,True,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401207113,2020,REGULAR_SEASON,2,2020-09-12T19:30:00Z,1599939000,326,Texas State Bobcats,Texas State,2636,UTSA Roadrunners,UTSA,48,51,-3,FBS,FBS,Sun Belt Conference,Conference USA,False,False,UFCU Stadium,San Marcos,TX,REGULAR_SEASON,False,True,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401234563,2020,REGULAR_SEASON,2,2020-09-12T20:00:00Z,1599940800,52,Florida State Seminoles,Florida State,59,Georgia Tech Yellow Jackets,Georgia Tech,13,16,-3,FBS,FBS,Atlantic Coast Conference,Atlantic Coast Conference,False,False,Doak Campbell Stadium,Tallahassee,FL,REGULAR_SEASON,True,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401240233,2020,REGULAR_SEASON,2,2020-09-12T20:00:00Z,1599940800,221,Pittsburgh Panthers,Pittsburgh,2046,Austin Peay Governors,Austin Peay,55,0,55,FBS,FCS,Atlantic Coast Conference,Ohio Valley Conference,True,False,Acrisure Stadium,Pittsburgh,PA,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401215298,2020,REGULAR_SEASON,2,2020-09-12T20:14:00Z,1599941640,290,Georgia Southern Eagles,Georgia Southern,2097,Campbell Fighting Camels,Campbell,27,26,1,FBS,FCS,Sun Belt Conference,Big South Conference,True,False,Allen E. Paulson Stadium,Statesboro,GA,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
